"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Info"
"15283","1214.510521864","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=514010 Ack=1133 Win=64384 Len=1448 TSval=3143614871 TSecr=146466827 [TCP segment of a reassembled PDU]"
"15284","1214.510529573","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=515458 Ack=1133 Win=64384 Len=1448 TSval=3143614871 TSecr=146466832 [TCP segment of a reassembled PDU]"
"15285","1214.510536638","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=516906 Ack=1133 Win=64384 Len=1448 TSval=3143614871 TSecr=146466832 [TCP segment of a reassembled PDU]"
"15286","1214.510591742","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=518354 Win=242688 Len=0 TSval=146466847 TSecr=3143614871"
"15287","1214.511121216","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=518354 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466839 [TCP segment of a reassembled PDU]"
"15288","1214.511840033","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=519802 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466839 [TCP segment of a reassembled PDU]"
"15289","1214.511916623","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=521250 Win=242688 Len=0 TSval=146466848 TSecr=3143614881"
"15290","1214.512548656","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=521250 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466840 [TCP segment of a reassembled PDU]"
"15291","1214.513040512","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=522698 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466840 [TCP segment of a reassembled PDU]"
"15292","1214.513130576","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=524146 Win=242688 Len=0 TSval=146466849 TSecr=3143614881"
"15293","1214.513837910","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=524146 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466840 [TCP segment of a reassembled PDU]"
"15294","1214.518865517","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=525594 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466847 [TCP segment of a reassembled PDU]"
"15295","1214.518985441","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=527042 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466847 [TCP segment of a reassembled PDU]"
"15296","1214.519024114","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=527042 Win=242304 Len=0 TSval=146466855 TSecr=3143614881"
"15297","1214.519633977","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=528490 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466847 [TCP segment of a reassembled PDU]"
"15298","1214.519666105","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=529938 Win=242304 Len=0 TSval=146466856 TSecr=3143614881"
"15299","1214.520423456","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=529938 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466847 [TCP segment of a reassembled PDU]"
"15300","1214.520921723","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=531386 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466847 [TCP segment of a reassembled PDU]"
"15301","1214.520960052","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=532834 Win=242304 Len=0 TSval=146466857 TSecr=3143614881"
"15302","1214.521725348","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=532834 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466847 [TCP segment of a reassembled PDU]"
"15303","1214.526889975","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=534282 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466847 [TCP segment of a reassembled PDU]"
"15304","1214.526999513","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=535730 Win=242304 Len=0 TSval=146466863 TSecr=3143614881"
"15305","1214.535910597","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=535730 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466847 [TCP segment of a reassembled PDU]"
"15306","1214.536384535","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=537178 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466848 [TCP segment of a reassembled PDU]"
"15307","1214.536422036","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=538626 Win=242304 Len=0 TSval=146466873 TSecr=3143614881"
"15308","1214.537165255","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=538626 Ack=1133 Win=64384 Len=1448 TSval=3143614881 TSecr=146466848 [TCP segment of a reassembled PDU]"
